,anime_id,title,title_english,genre,user_rating,score,scored_by
0,31646,3-gatsu no Lion,March comes in like a lion,"Game, Slice of Life, Drama, Seinen",9.0,8.43,66567
1,1,Cowboy Bebop,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",8.0,8.81,365465
2,813,Dragon Ball Z,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",9.0,8.31,367982
3,431,Howl no Ugoku Shiro,Howl&#039;s Moving Castle,"Adventure, Drama, Fantasy, Romance",7.0,8.73,334114
4,20,Naruto,Naruto,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",8.0,7.88,648605
5,30,Neon Genesis Evangelion,Neon Genesis Evangelion,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",8.0,8.32,364012
6,13601,Psycho-Pass,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",8.0,8.45,377003
7,2236,Toki wo Kakeru Shoujo,The Girl Who Leapt Through Time,"Sci-Fi, Adventure, Drama, Romance",7.0,8.35,249571
8,523,Tonari no Totoro,My Neighbor Totoro,"Adventure, Comedy, Supernatural",7.0,8.45,262204
9,35968,Wotaku ni Koi wa Muzukashii,,"Comedy, Romance",9.0,7.98,15848
